,y,prd_y
101,3.73,3.767607626344192
102,3.45,3.8520694286572588
103,3.55,3.931081999621061
104,3.96,4.058309620557461
105,3.93,4.032916458654698
106,3.97,3.9014996279881955
107,3.69,3.898750320539538
108,4.33,3.9764732133709546
109,3.59,3.830324869984954
110,3.81,3.9173283869664837
111,4.17,3.9306056466889907
112,3.71,3.6618937112246033
113,3.21,4.062032355621435
114,4.14,4.0576054848873255
115,3.82,3.8849219460489057
116,3.98,3.8767958440206924
117,4.27,3.971270020726681
118,4.12,4.200394627180625
119,3.84,3.839939977182906
120,3.61,3.8607514968239296
121,3.81,4.055499052135271
122,3.86,3.8415502157641357
123,4.07,3.9464175635095677
124,4.14,4.274870212216555
125,3.85,3.908749160610586
126,3.71,3.9312273874347894
127,4.08,3.929725409641899
128,4.13,3.9176511081488132
129,3.65,3.8695167039083738
130,3.79,3.9119946155257206
131,4.0,3.9199938016496234
132,3.8,3.9082308420086407
133,3.95,3.837468340430441
134,4.13,4.029843722786557
135,3.68,3.822090242267971
136,3.82,3.8857358403418503
137,4.19,3.9117359955651625
138,3.44,3.7609386805332643
139,4.05,3.8374943730036075
140,3.85,3.9524344629791277
141,3.81,3.9749026143854596
142,3.88,3.9173976579563097
143,3.93,3.9517482941127393
144,3.97,3.927376571110106
145,3.84,3.8832594775496223
146,4.08,3.928818441543599
147,4.22,4.1838478351946655
148,3.72,3.7367353898405473
149,4.12,4.082883930065412
150,4.32,4.263794254048854
151,3.59,3.8749176247091026
152,3.49,3.890511127572173
153,3.78,3.9423325519259875
154,4.1,4.047940051459008
155,3.94,3.7975699071584317
156,4.25,3.913958194119831
157,4.31,4.257097045611349
158,3.57,3.965089398310243
159,3.57,3.9235011559048343
160,4.16,4.0257235434659915
161,4.17,4.203938002083147
162,3.67,3.806043951387292
163,4.11,4.11123967500766
164,4.0,3.9929486609960345
165,4.2,4.002943831931068
166,3.9,3.693124487302186
167,4.0,3.939611529797356
168,4.39,4.011669712725919
169,4.09,3.9923943026324316
170,3.75,4.012620135070046
171,4.02,3.926866627850854
172,3.78,3.896189055080056
173,3.71,3.8197279378825857
174,4.19,4.139501760286318
175,4.34,3.8887659128735392
176,3.89,3.866474809665682
177,3.78,3.832036703529457
178,3.54,3.9395491829921254
179,4.04,3.950908383071076
180,5.0,3.8716182774242625
181,3.81,3.9285892004644256
182,4.17,3.968835485622836
183,4.12,3.963315277713233
184,4.12,4.037444742844267
185,3.68,3.7931246541457875
186,4.04,3.9345296829187455
187,3.85,4.103756516115871
188,4.04,3.9328371772397284
189,3.67,3.9319925624921077
190,3.61,3.846834160503368
191,4.09,3.978608414595277
192,3.78,4.082556302478864
193,3.88,3.7621413265120247
194,3.93,3.8879326660169817
195,4.01,3.886005390340221
196,3.88,4.008331443106931
197,4.09,4.095759491868392
198,3.77,3.8863872007777016
199,3.7,3.946037407054528
200,3.44,3.8861975841932517
201,3.65,3.8048383147376277
202,3.81,4.008408737268335
203,3.65,3.717631472076115
204,3.93,3.886720372939472
205,4.0,3.97406401910207
206,4.17,3.9299427449192126
207,4.26,4.038536178112329
208,3.86,3.8264127288964045
209,3.91,3.908111485059495
210,4.03,3.9194185405556063
211,4.06,3.935015804911347
212,4.17,4.085080850354045
213,3.76,3.9311263474498683
214,4.1,3.924803461983348
215,3.93,3.8652658017988073
216,3.8,4.054061365480152
217,3.68,3.902095469992545
218,4.24,4.021417454038964
219,4.19,3.852423539428632
220,3.94,3.844556181400161
221,3.77,4.037198860838274
222,4.43,4.096582051449007
223,3.73,3.892243656966015
224,3.8,3.9661915455086496
