,Feature Name,Importance,Delta,FR_Decrementing,FR_Incrementing,FRD_abs,FRI_abs,FRD_MAD,FRI_MAD
3,text_reviews_count,0.00023872292821931502,0.5,0.0017136327078913025,-0.0013408899426705424,0.0021145931959275607,0.001574297029243489,0.0010361342108757832,0.0
5,publisher,0.0014284384965504383,0.07477703419883752,-0.00011084394876245189,0.0002434172885115393,0.0006494635454111918,0.0007146799101509377,0.0,0.0
8,author3,0.0019273312817628882,0.09818792109872125,-0.0002904418650524159,9.297427317496763e-05,0.0010742247552349643,0.0018953000798848931,0.0,0.0006018811892327669
1,num_pages,0.002250760270136747,0.5,-0.001288616637853755,0.001522867699246045,0.0019757676615074324,0.002204276022145953,0.00021278735079022226,0.0005071575041788456
0,Unnamed: 0,0.003297669470045747,1299.0380976579042,-0.0029111160887093134,0.0034757932825893534,0.0040310054515869664,0.005719456359812752,9.110791262045836e-05,0.0002937622770664561
7,author2,0.004768664205020684,0.09655486568860602,-0.0005034533274532197,0.00018218006833774794,0.0008393547063618548,0.0009187581500277807,0.0,0.0
6,author1,0.02369944937418215,0.10172069238953114,-0.0025658231948701682,0.0028744279779571486,0.004873969360699857,0.006247060690244418,0.001703573386967694,0.0012845231597324869
2,ratings_count,0.0818941573413308,0.49999999999999994,0.02584475766725927,0.003602518256425361,0.18066588699370448,0.00514940429308229,0.12828925995866935,0.0
4,language_code,0.8804948066327511,0.018430308644767454,0.6177728884392941,-0.10397214893994422,0.7056058187162374,0.2220300687252554,0.7108706129517808,0.17603795905786668
