,num_pages,ratings_count,text_reviews_count,language_code,publisher,author1,author2,author3,average_rating
1519,0.5566878500295539,-0.15883999960704914,-0.2079481895038628,4.531666666666667,4.4,4.228297872340425,4.4,4.26,4.44
1520,0.019854319463781835,-0.129674302049432,-0.15817749119798225,3.9346194225721707,3.930857142857143,3.9576923076923083,3.9644000000000013,3.9576923076923083,3.99
1521,-0.27412594727461714,6.296249314386685,6.2207046390429195,3.9346194225721707,3.9356450000000005,4.095714285714285,4.026666666666666,4.096923076923076,4.08
1522,-0.03979385059908173,-0.15169495528248889,-0.19634750042504853,3.9346194225721707,3.8609090909090913,3.8636363636363638,3.8590000000000004,3.8636363636363638,3.86
1523,-0.05257560132683821,-0.14189385528858495,-0.17875935891845918,3.9346194225721707,3.9316666666666666,3.9057142857142857,3.9356450000000005,3.9356450000000005,3.89
1524,-1.160327331065733,-0.1533327148485698,-0.1873663217833859,3.9192062256809312,4.017045454545456,4.0975,4.0975,4.0975,4.1
1525,0.06672073879888892,0.37799722023221005,0.33279360787957635,3.9346194225721707,4.041875,4.1113793103448275,4.110454545454545,4.119259259259259,4.28
1526,0.31809516977809965,-0.1417665682756771,-0.17801092736498728,3.9346194225721707,3.929491525423729,4.053333333333334,4.0525,3.9625,4.05
1527,-0.3976828709762631,0.20167924995226555,0.06822305372726391,3.9192062256809312,3.765,3.915,3.9356450000000005,3.915,3.91
1528,0.12636890886175248,-0.12616118049317554,-0.17164925916047621,3.9346194225721707,3.9356450000000005,4.3149999999999995,3.9356450000000005,4.3149999999999995,4.3
1529,0.28827108474666785,-0.06527555931892384,0.02556245517936629,3.9346194225721707,3.9242647058823517,3.902666666666667,3.8575,3.932857142857143,3.93
1530,-0.22299894436359124,-0.14431230853383398,-0.14994474410979147,3.9346194225721707,3.9356450000000005,3.9479999999999995,3.6399999999999997,3.9399999999999995,3.8
1531,1.0168308762287872,-0.145432434247423,-0.1832499482392905,3.9346194225721707,3.7039999999999997,4.0,4.0,4.0,3.98
1532,-0.8194806449922268,-0.15741438506248132,-0.20420603173650337,3.9346194225721707,4.1242857142857146,4.07,4.036666666666667,4.07,4.07
1533,-0.20595661005991595,-0.1573804418590392,-0.20121230552261582,3.9192062256809312,3.8579999999999997,3.9356450000000005,3.9356450000000005,3.9356450000000005,3.7
1534,0.1604535774691031,-0.15904365882770172,-0.2079481895038628,3.9346194225721707,4.005000000000001,4.055,4.072727272727272,4.070909090909091,3.82
1535,-1.2370178354322718,-0.15875514159844392,-0.20682554217365498,3.930899470899472,3.9356450000000005,3.9895833333333335,3.9356450000000005,4.06,3.77
1536,0.675984190155281,0.023876264521729577,0.03641471270470867,3.9346194225721707,3.974285714285714,4.083333333333334,4.083333333333334,4.040000000000001,4.09
1537,-0.6149726333481232,-0.14701927900834078,-0.19260534265768908,3.9346194225721707,4.085,4.2,4.157500000000001,4.2,3.93
1538,0.22436233110788548,-0.0027606643794517534,-0.0051232385129811224,3.9346194225721707,3.968000000000001,3.947272727272727,3.9312500000000004,3.972,3.74
1539,-1.0623339088196,-0.1534090870563145,-0.1772624958115154,3.9346194225721707,3.63,3.82875,3.8357142857142854,3.835,3.97
1540,0.4416520934797456,-0.1584835959709072,-0.20495446328997524,3.930899470899472,3.357142857142857,3.9356450000000005,3.9356450000000005,3.9356450000000005,3.89
1541,-0.05257560132683821,-0.15576813969553988,-0.1952248530948407,3.9346194225721707,3.8063636363636366,3.573333333333333,3.573333333333333,3.573333333333333,3.62
1542,5.196463364205155,0.307157754648565,-0.06574619434420406,3.9346194225721707,3.9399999999999986,3.8884999999999996,3.907142857142857,3.8939999999999997,4.04
1543,1.5792279082500722,-0.15877211320016496,-0.2079481895038628,3.9346194225721707,3.9628571428571435,3.9576923076923083,3.9644000000000013,3.9576923076923083,4.09
1544,-0.3422952844893184,-0.15153372506613896,-0.1765140642580435,3.9346194225721707,3.8693939393939383,3.8674999999999997,3.9356450000000005,3.8674999999999997,3.6
1545,-0.5340215454056655,-0.1589333434165149,-0.2079481895038628,3.9346194225721707,3.92,3.5999999999999996,3.746,3.5999999999999996,3.76
1546,-0.2826471144264548,-0.145432434247423,-0.15069317566326337,3.9192062256809312,3.8266666666666667,3.9356450000000005,3.9356450000000005,3.9356450000000005,4.03
1547,-0.670360219835068,-0.15898425822167805,-0.20757397372712685,3.9346194225721707,4.065,4.17,4.142666666666667,4.14,4.17
1548,2.861663564601639,-0.15278113779263583,-0.1825015166858186,3.9192062256809312,4.037594936708861,4.148000000000001,4.148000000000001,4.148000000000001,4.31
1549,0.6120754365164986,-0.14504208740783894,-0.13347924993340993,3.9346194225721707,3.756666666666666,3.6263157894736837,3.6373333333333324,3.650555555555555,3.58
1550,-0.8919105657828469,-0.15891637181479387,-0.20757397372712685,3.9346194225721707,3.9356450000000005,3.9356450000000005,3.9356450000000005,3.9356450000000005,3.47
1551,-0.29116828157829244,-0.1580762775296021,-0.2053286790667112,3.9346194225721707,3.9356450000000005,4.034166666666667,3.9356450000000005,4.098333333333334,3.69
1552,0.011333152311944183,-0.13273767616008075,-0.12861444483584267,3.9346194225721707,3.8853900709219844,3.566470588235294,3.5064285714285717,3.566470588235294,3.64
1553,0.05819957164705127,-0.1542576671423668,-0.19934122663893608,3.9192062256809312,3.9356450000000005,4.014,3.9356450000000005,3.9356450000000005,3.99
1554,-1.0069463223326551,-0.13517310100705082,-0.14545415478896015,3.9346194225721707,3.96,3.957441860465116,3.981818181818182,3.9612499999999997,3.83
1555,-0.7513113077775256,-0.1529932828141489,-0.19634750042504853,3.9192062256809312,4.056428571428571,3.9356450000000005,4.101999999999999,3.9356450000000005,4.24
1556,-1.2966660054951353,-0.15464801398195085,-0.1697781802767965,3.9346194225721707,3.938888888888889,3.9356450000000005,3.9356450000000005,3.9356450000000005,4.13
1557,-0.6149726333481232,-0.0456818451319765,-0.11963326619418001,3.9346194225721707,4.0459,4.255,4.1866666666666665,4.255,4.16
1558,0.0624601552229701,-0.13481669737090887,-0.16528759095596518,3.930899470899472,4.26,3.994545454545455,4.045,3.994545454545455,4.15
1559,-0.6831419705628244,-0.15810173493218366,-0.20570289484344714,3.9346194225721707,3.7366666666666672,3.7416666666666667,3.9356450000000005,3.52,3.12
